fecha,producto,precio_farmacity,lista_farmacity,precio_farmaplus,lista_farmaplus,precio_selma,lista_selma
2026-03-08,Nivea Sun Tono Medio,$ 17.003,NA,$ 15.906,$ 26.510,18309.0,30515.0
2026-03-08,Vichy Capital Soleil,$ 43.922,NA,$ 43.922,$ 79.859,42705.0,85410.0
2026-03-08,Caviahue Contorno de Ojos,$ 36.400,NA,$ 36.400,$ 52.000,36400.0,52000.0
2026-03-08,Maybelline Rubor Líquido Face Sunkisser,$ 32.995,NA,$ 32.990,NA,NA,NA
2026-03-08,Isdin Fusion Water Magic,$ 40.803,NA,$ 35.621,$ 64.766,40802.0,68004.0
2026-03-08,102 Magnesio Citrato Vitaminas Y Minerales Gummies 90 Unidades,$ 19.846,NA,$ 14.886,$ 19.848,15879.0,19848.0
2026-03-08,Serum Ojos Anti Ojeras Glycolic Bright L´Oreal Paris,$ 39.090,NA,$ 39.090,NA,NA,NA
2026-03-08,Brillo Labial Voluminizador Maybelline Lifter Plump,$ 31.984,NA,$ 31.990,NA,NA,NA
2026-03-08,L'oréal Paris Revitalift Sérum Ácido Hialurónico 30ml,$ 28.725,NA,$ 27.943,$ 42.990,NA,NA
2026-03-08,Agua Micelar Skin Active Con Ácido Salicílico 400ml,$ 19.990,NA,$ 19.990,NA,NA,NA
2026-03-09,Nivea Sun Tono Medio,$ 17.003,NA,$ 15.906,$ 26.510,18309.0,30515.0
2026-03-09,Vichy Capital Soleil,$ 43.922,NA,$ 43.922,$ 79.859,42705.0,85410.0
2026-03-09,Caviahue Contorno de Ojos,$ 36.400,NA,$ 36.400,$ 52.000,36400.0,52000.0
2026-03-09,Maybelline Rubor Líquido Face Sunkisser,$ 32.995,NA,$ 32.990,NA,NA,NA
2026-03-09,Isdin Fusion Water Magic,$ 40.803,NA,$ 35.621,$ 64.766,40802.0,68004.0
2026-03-09,102 Magnesio Citrato Vitaminas Y Minerales Gummies 90 Unidades,$ 19.846,NA,$ 14.886,$ 19.848,15879.0,19848.0
2026-03-09,Serum Ojos Anti Ojeras Glycolic Bright L´Oreal Paris,$ 23.454,NA,$ 23.454,$ 39.090,NA,NA
2026-03-09,Brillo Labial Voluminizador Maybelline Lifter Plump,$ 19.190,NA,$ 19.194,$ 31.990,NA,NA
2026-03-09,L'oréal Paris Revitalift Sérum Ácido Hialurónico 30ml,$ 26.515,NA,$ 25.794,$ 42.990,NA,NA
2026-03-09,Agua Micelar Skin Active Con Ácido Salicílico 400ml,$ 19.990,NA,$ 19.990,NA,NA,NA
2026-03-10,Nivea Sun Tono Medio,$ 17.003,NA,$ 15.906,$ 26.510,18309.0,30515.0
2026-03-10,Vichy Capital Soleil,$ 43.922,NA,$ 43.922,$ 79.859,42705.0,85410.0
2026-03-10,Caviahue Contorno de Ojos,$ 36.400,NA,$ 36.400,$ 52.000,36400.0,52000.0
2026-03-10,Maybelline Rubor Líquido Face Sunkisser,$ 32.995,NA,$ 32.990,NA,NA,NA
2026-03-10,Isdin Fusion Water Magic,$ 40.803,NA,$ 35.621,$ 64.766,40802.0,68004.0
